id,data_reclamacao,canal,texto_reclamacao,produto,status
REC-2026-00001,2026-09-20,SAC,"Fizeram uma compra de R$ 2.000 no meu cartão que eu não reconheço. Quero bloqueio imediato.",Cartão de Crédito,Aberta
REC-2026-00002,2026-09-20,Banco Central,"Já reclamei três vezes e ninguém resolve a cobrança duplicada de R$ 780 na minha fatura.",Cartão de Crédito,Em análise
REC-2026-00003,2026-09-21,Redes Sociais,"O aplicativo não abre e não consigo fazer PIX desde cedo. Péssimo atendimento.",Conta Corrente,Aberta
REC-2026-00004,2026-09-21,SAC,"Gostaria de entender uma taxa que apareceu no meu empréstimo.",Empréstimo,Aberta
REC-2026-00005,2026-09-21,Ouvidoria,"Solicitei o cancelamento do seguro há duas semanas e continuo sendo cobrado.",Seguros,Em análise
REC-2026-00006,2026-09-21,Procon,"Minha conta poupança foi encerrada sem aviso e perdi acesso a R$ 15.000. Estou entrando com ação judicial.",Conta Corrente,Aberta
REC-2026-00007,2026-09-22,SAC,"Recebi um e-mail dizendo que meus dados pessoais, incluindo CPF e histórico financeiro, foram vazados em um incidente de segurança. Quero saber o que aconteceu e como meus dados serão protegidos.",Conta Corrente,Aberta
REC-2026-00008,2026-09-22,SAC,"Já tentei resolver pelo SAC duas vezes e ninguém me deu retorno. Meu advogado vai entrar com uma ação no juizado especial essa semana se o problema não for resolvido hoje.",Cartão de Crédito,Em análise
REC-2026-00009,2026-09-22,Redes Sociais,"Estou postando agora no Instagram e no Twitter sobre o bloqueio indevido da minha conta. Já são 3.000 curtidas e o post está viral. Quero que resolvam ou vou continuar publicando.",Conta Corrente,Aberta
REC-2026-00010,2026-09-22,SAC,"Notei que o banco compartilhou meu histórico de transações com uma empresa de marketing sem minha autorização. Isso parece uma violação da LGPD.",Conta Corrente,Aberta
REC-2026-00011,2026-09-22,Ouvidoria,"Clonaram meu cartão de crédito e fizeram compras de R$ 4.500. Já tentei resolver pelo SAC e não fui atendido. Preciso de bloqueio e estorno urgente.",Cartão de Crédito,Aberta
REC-2026-00012,2026-09-23,SAC,"Essa é a segunda vez que recorro ao SAC para reclamar do mesmo problema: continuo recebendo cobranças de uma parcela de empréstimo que já quitei em agosto.",Empréstimo,Em análise
REC-2026-00013,2026-09-23,SAC,"Gostaria de entender melhor as opções de resgate antecipado do meu CDB. Não é urgente, só quero informações.",Investimentos,Aberta
REC-2026-00014,2026-09-23,Banco Central,"O banco debitou R$ 1.200 da minha conta sem autorização. Abri reclamação interna há dez dias e não recebi resposta. Por isso recorri ao Banco Central.",Conta Corrente,Aberta
REC-2026-00015,2026-09-23,Redes Sociais,"Vou publicar um vídeo no YouTube explicando como o banco me cobrou juros abusivos no cartão. Meu advogado já está analisando o contrato para entrar com ação de repetição de indébito.",Cartão de Crédito,Aberta
